title,release_date,popularity,vote_average,runtime,genres,on_netflix
Raid,2003-01-31,0.366841,5.9,128.0,"Action, Crime, Thriller",False
D-Tox,2002-01-04,13.374415,5.4,96.0,"Action, Thriller",False
Swimming to Cambodia,1987-03-13,0.225249,6.4,85.0,"Comedy, Drama",False
Watch on the Rhine,1943-08-27,0.958211,6.2,114.0,"Drama, Thriller",False
Under Fire,1983-10-21,2.780331,6.9,128.0,"War, Drama",False
Enemy Mine,1985-12-12,9.802889,6.7,108.0,"Drama, Science Fiction",False
Enter the Dragon,1973-08-17,10.687757,7.3,99.0,"Action, Crime, Thriller",True
Foreign Land,1996-09-04,1.567614,6.9,110.0,"Drama, Thriller, Romance, Foreign",False
The Rolling Stones: Gimme Shelter,1970-12-06,2.336022,7.8,91.0,"Documentary, Music",False
Good Morning,1959-05-12,2.284852,7.2,94.0,"Comedy, Family, Drama",False
Happy Together,1997-05-17,5.933971,7.7,96.0,"Drama, Romance",False
Henry & June,1990-09-28,4.459959,6.3,136.0,Romance,False
Berkeley in the Sixties,1990-01-01,0.10664,4.3,117.0,Documentary,False
The Nasty Girl,1990-02-15,0.73486,5.9,92.0,"Comedy, Drama, Foreign",False
Entre Nous,1983-04-06,1.137893,7.5,110.0,"Drama, War",False
The Naked Prey,1965-06-01,2.243937,7.0,96.0,"Action, Drama, Thriller",False
Martin,1978-07-05,3.965407,7.0,95.0,Horror,False
The Three Faces of Eve,1957-12-23,2.030279,7.3,91.0,"Drama, Mystery",False
The Kingdom,1994-11-23,5.230666,8.0,273.0,"Horror, Mystery",False
Mercy,2000-02-11,1.520526,5.2,117.0,"Drama, Mystery, Thriller",True
Desperate Hours,1990-10-05,3.233994,5.3,105.0,"Mystery, Thriller",False
The Passion of Ayn Rand,1999-01-27,0.791025,2.0,104.0,"Drama, Romance",False
Along the Coast,1958-01-01,0.382091,9.0,25.0,Documentary,False
100 Girls,2000-09-01,5.136537,5.6,94.0,"Comedy, Drama, Romance",False
Fail-Safe,1964-10-07,4.225974,7.6,112.0,"Drama, History, Thriller",False
Paperhouse,1988-01-01,3.520171,6.6,92.0,"Drama, Fantasy, Horror",False
Dobermann,1997-06-18,6.774793,6.4,103.0,"Action, Crime",False
The Discovery of Heaven,2001-10-01,1.009704,5.2,127.0,"Drama, Fantasy",False
Kwaidan,1964-12-29,4.130372,7.5,183.0,"Drama, Fantasy, Horror",False
Cat-Women of the Moon,1953-09-03,1.337813,3.3,64.0,Science Fiction,False
28 Up,1984-11-20,0.018017,7.9,136.0,"Documentary, Foreign",False
Chance,2002-09-22,0.542401,6.8,75.0,"Comedy, Drama",False
You Only Live Twice,1967-06-12,10.359669,6.5,117.0,"Action, Thriller, Adventure",False
Octopussy,1983-06-05,10.619302,6.2,131.0,"Adventure, Action, Thriller",False
The Blue Gardenia,1953-03-23,1.946802,6.2,88.0,"Crime, Drama, Thriller",False
Wit,2001-02-09,2.593469,7.0,99.0,"Drama, TV Movie",False
Never Say Never Again,1983-10-07,10.231985,5.8,134.0,"Adventure, Action, Thriller",False
Maborosi,1995-10-01,2.050562,7.2,110.0,Drama,False
The Magic Flute,1975-01-01,0.658086,7.1,134.0,"Fantasy, Comedy, Music, Romance",False
Midnight,1939-03-24,2.239212,7.0,94.0,"Comedy, Romance",False
Pride and Prejudice,1940-07-26,2.323028,7.3,118.0,"Drama, Romance",False
The Man in the Gray Flannel Suit,1956-05-08,6.537021,6.7,153.0,Drama,False
The Fountainhead,1949-07-02,4.866997,6.9,114.0,Drama,False
Old Acquaintance,1943-11-28,0.632669,6.0,110.0,Drama,False
In This Our Life,1942-05-16,6.312577,6.2,97.0,"Drama, Romance",False
Woman of the Year,1942-01-19,2.83303,6.9,114.0,"Comedy, Romance",False
Summertime,1955-01-01,2.577128,6.6,99.0,"Drama, Romance",False
Soldier of Orange,1977-09-22,2.348745,7.4,149.0,"Drama, History, Thriller, War",False
Le Samouraï,1967-10-25,9.091288,7.9,105.0,"Crime, Drama, Thriller",False
White Palace,1990-10-19,2.59282,6.2,103.0,"Drama, Romance",False
Oklahoma!,1955-10-10,8.455348,6.3,145.0,"Western, Music, Romance",False
Desert Hearts,1985-10-01,1.553107,6.7,96.0,"Drama, Romance",False
Body Double,1984-10-25,9.836894,6.4,114.0,"Crime, Mystery, Horror, Thriller",False
Rooster Cogburn,1975-10-17,12.140407,6.2,108.0,Western,False
Chaplin,1992-12-18,8.243107,7.5,143.0,Drama,False
The Miracle Worker,1962-05-22,4.368765,7.5,106.0,Drama,False
Monster in a Box,1992-05-15,0.009961,4.8,87.0,"Comedy, Drama",False
I Come,2000-10-04,0.264672,6.8,90.0,Drama,False
Midnight,1998-01-01,0.00413,0.0,75.0,Drama,False
If You Only Knew,2000-03-05,0.114487,5.5,0.0,"Comedy, Romance",False
School Ties,1992-09-18,7.438381,6.3,106.0,Drama,False
Girl,1998-11-05,8.532861,4.7,99.0,"Comedy, Drama, Romance, Music",True
Switch,1991-05-10,3.292828,5.6,104.0,"Fantasy, Comedy",False
Just Write,1997-03-01,0.700719,3.5,102.0,"Romance, Comedy",False
Raising Cain,1992-08-07,8.816951,5.9,91.0,"Drama, Horror, Thriller, Crime",False
Irma Vep,1996-09-06,1.808369,6.3,99.0,"Drama, Comedy, Horror",False
Buck Privates,1941-01-31,1.633148,6.7,84.0,Comedy,False
Nice Guys Sleep Alone,1999-10-14,0.214291,4.7,91.0,"Comedy, Romance",False
Divorce Iranian Style,1998-08-01,0.155233,7.8,80.0,Documentary,False
Iron And Silk,1991-02-15,0.00022,6.0,92.0,"Drama, Comedy",False
Rose Red,2002-01-26,6.965725,6.6,254.0,"Drama, Horror, Thriller",False
Noises Off...,1992-03-20,4.179487,7.0,101.0,Comedy,False
Wildflowers,2000-03-04,0.112468,5.8,93.0,Drama,False
Babylon 5: In the Beginning,1998-01-04,3.680772,7.3,94.0,"Action, Drama, Science Fiction, Adventure",False
Witchfinder General,1968-05-01,8.658708,6.4,86.0,"Drama, Horror, History",False
Versus,2000-10-23,2.304575,6.0,130.0,"Action, Horror",False
The Canterville Ghost,1944-07-28,1.300589,5.9,95.0,"Comedy, Drama, Fantasy",False
The Prince and the Showgirl,1957-06-13,3.424195,6.3,115.0,"Comedy, Drama, Romance",False
The China Syndrome,1979-03-16,4.621214,7.0,122.0,"Thriller, Drama",False
Who the Hell Is Juliette?,1997-09-05,0.100488,5.5,91.0,"Documentary, Foreign",False
The Wages of Fear,1953-04-22,7.643793,7.9,147.0,"Drama, Thriller, Adventure",False
Look Who's Talking Too,1990-12-14,6.42968,5.0,81.0,"Romance, Comedy",False
The Bells of St. Mary's,1945-12-27,2.614074,7.3,126.0,"Drama, Family",False
You Light Up My Life,1977-08-31,0.411176,5.3,90.0,"Drama, Romance",False
The Delta Force,1986-02-14,7.224683,5.2,125.0,"Action, Thriller",False
Pat and Mike,1952-06-13,2.415004,5.9,95.0,"Comedy, Drama, Romance",False
Animal Crackers,1930-08-28,4.750686,7.2,97.0,Comedy,True
"He Said, She Said",1991-02-22,4.150196,4.8,115.0,"Comedy, Drama, Romance",False
Bedazzled,1967-10-30,8.491505,6.3,103.0,"Fantasy, Comedy, Romance",False
Cat People,1942-12-05,5.110716,6.9,73.0,"Thriller, Drama, Horror",False
Camelot,1967-10-25,3.30865,6.4,179.0,"Adventure, Music, Romance",False
The Lonely Guy,1984-01-27,4.273982,6.4,90.0,"Comedy, Romance",False
The Comedy of Terrors,1963-10-14,2.133184,6.4,84.0,"Comedy, Horror",False
The Four Musketeers,1974-10-31,5.512439,6.4,108.0,"Action, Adventure, Comedy, Drama",False
Good Guys Wear Black,1978-06-01,2.261946,5.7,95.0,"Action, Thriller",False
Steel Dawn,1987-11-06,2.605644,4.7,97.0,"Action, Adventure, Science Fiction",False
On Deadly Ground,1994-02-18,6.678661,4.6,102.0,"Action, Thriller",False
Boy Meets Girl,1994-07-30,0.202054,3.9,93.0,"Drama, Horror",False
Protocol,1984-12-21,3.665599,6.0,96.0,Comedy,False
The Postman Always Rings Twice,1946-05-02,5.68705,7.0,113.0,"Crime, Drama, Thriller",False
Matinee,1993-01-29,7.256473,6.4,99.0,"Comedy, Drama",False
Forever Fever,1998-05-28,0.170074,5.1,95.0,"Comedy, Music, Romance, Foreign",False
Virtual Sexuality,1999-07-02,0.451689,5.6,92.0,Comedy,False
Baxter,1989-01-18,0.005568,6.4,82.0,"Horror, Drama, Comedy",False
Explorers,1985-07-12,4.935932,6.2,109.0,"Adventure, Family, Fantasy, Romance, Science Fiction",False
The Scent of Green Papaya,1993-06-08,3.481652,7.4,104.0,"Drama, Romance",False
Pierrot le Fou,1965-08-29,5.606909,7.7,110.0,"Drama, Thriller",False
Weekend,1967-12-29,2.937013,7.2,105.0,"Drama, Comedy",False
One Hundred and One Nights,1995-01-25,1.115938,6.8,101.0,"Comedy, History, Romance",False
Strange Cargo,1940-03-01,0.7369,6.6,113.0,Drama,False
Seven Girlfriends,1999-11-06,0.637771,6.0,0.0,"Comedy, Romance",False
Tuesdays with Morrie,1999-12-05,1.739258,6.0,89.0,Drama,False
Temptation of a Monk,1993-09-15,0.103153,6.0,118.0,"Drama, Romance",False
Alexander Nevsky,1938-11-24,1.915541,6.8,112.0,"Drama, History, War",False
Jason and the Argonauts,1963-06-19,6.222085,7.1,104.0,"Adventure, Family, Fantasy",False
Same Old Song,1997-11-12,7.272304,6.9,120.0,"Drama, Comedy, Romance",False
Nostalgia,1983-05-01,4.235709,7.5,120.0,"Drama, Romance",False
The Soft Skin,1964-05-05,2.137534,7.1,119.0,"Drama, Romance",False
Tinker Tailor Soldier Spy,1979-09-10,1.564586,7.6,320.0,"Thriller, Drama, Mystery",False
Wintersleepers,1997-10-30,1.781979,6.7,120.0,Drama,False
The Driller Killer,1979-06-15,2.773173,4.9,96.0,"Drama, Horror",False
Perfectly normal,1991-02-15,0.083899,5.5,107.0,,False
Throne of Blood,1957-01-15,6.471043,7.7,110.0,"Drama, History",False
The Best of Youth,2003-05-19,6.040001,8.0,366.0,Drama,False
Guncrazy,1992-09-11,4.797893,5.0,97.0,"Drama, Romance, Thriller, Crime",False
Bang Rajan,2000-12-29,1.148337,6.9,113.0,"Action, History, War",False
Treasure Island,1990-06-08,3.301143,5.6,131.0,"Adventure, Family",False
Zorba the Greek,1964-12-14,4.813635,7.0,142.0,"Adventure, Drama",False
Undercurrent,1946-11-28,2.936232,5.8,116.0,"Drama, Thriller, Mystery, Romance",False
Bang Bang You're Dead,2002-06-07,3.273855,7.2,87.0,"Drama, Thriller",False
My Side of the Mountain,1969-01-01,0.437809,6.4,100.0,"Action, Adventure, Drama, Family",False
The Thin Blue Lie,2000-08-13,0.0826,6.0,97.0,Drama,False
The Unsaid,2001-09-14,5.526635,6.8,111.0,Thriller,False
Twister,1989-06-01,0.720198,5.0,93.0,"Drama, Comedy",False
Sniper,1993-01-29,9.337393,5.9,98.0,"Action, Drama, Thriller",False
Don't Tell Anyone,1998-07-16,0.802286,5.5,120.0,"Comedy, Drama",False
Ghost in the Machine,1993-12-29,2.404331,5.0,104.0,"Horror, Science Fiction, Thriller",False
A Time for Drunken Horses,2000-01-01,2.391796,6.6,80.0,Drama,False
Genghis Blues,1999-07-19,0.692364,6.4,87.0,"Documentary, Music",False
To Hell and Back,1955-09-22,1.715253,6.6,106.0,"Action, Romance, Drama, History, War",False
11'09''01 - September 11,2002-09-04,3.103918,6.1,135.0,Drama,False
"Bon Voyage, Charlie Brown (and Don't Come Back!)",1980-01-01,0.594899,6.2,75.0,"Animation, Comedy, Family",False
Internal Affairs,1990-01-12,5.439942,6.5,114.0,"Crime, Drama",False
The Parallax View,1974-06-14,4.43233,6.9,102.0,"Crime, Drama, Thriller",False
The Warriors,1979-02-08,11.457298,7.4,93.0,"Action, Adventure, Crime, Drama, Thriller",False
Mayerling,1968-01-01,0.783968,6.6,140.0,"Drama, Romance",False
Ambush,1999-01-22,0.999465,6.3,123.0,"Drama, War",False
Babylon 5: A Call to Arms,1999-01-03,8.389329,6.9,94.0,"Action, Drama, Science Fiction, Adventure",False
Babylon 5: The River of Souls,1998-11-08,2.203009,6.1,94.0,"Action, Drama, Science Fiction, Adventure",False
Babylon 5: Thirdspace,1998-07-19,5.579911,6.4,94.0,"Action, Drama, Science Fiction, Adventure",False
FM,1978-04-20,0.266786,6.7,104.0,"Comedy, Drama, Music",False
Waterloo,1970-10-26,3.240624,7.1,128.0,"History, Action, Drama",False
True Stories,1986-10-10,3.09897,6.1,90.0,Comedy,False
North Beach,2000-06-07,0.210088,0.0,78.0,"Romance, Comedy, Drama",False
Zardoz,1974-02-06,10.698934,5.8,105.0,"Fantasy, Action, Thriller, Science Fiction",False
School for Scoundrels,1960-03-24,1.332883,6.6,94.0,Comedy,False
The Virgin Spring,1960-02-08,10.353794,7.8,89.0,"Crime, Drama",False
Ice Cold in Alex,1958-06-24,2.750367,7.5,124.0,"Adventure, Drama, War",False
Mogambo,1953-10-09,2.994187,6.2,115.0,"Adventure, Drama, Romance",False
Demon Lover Diary,1980-01-04,0.001393,5.0,90.0,Documentary,False
Second Skin,1999-12-13,0.831471,6.3,100.0,"Romance, Drama",False
Victory,1996-12-13,1.064921,4.7,99.0,"Drama, Romance",False
The Secret Life of Walter Mitty,1947-09-01,3.039934,6.9,110.0,"Comedy, Fantasy, Romance",False
Cypher,2002-10-01,7.348974,6.7,95.0,"Thriller, Science Fiction, Mystery",False
The Rack,1956-11-02,1.088216,3.5,100.0,"War, Drama, Romance",False
Another Thin Man,1939-01-01,1.881187,7.0,103.0,"Comedy, Drama",False
The Thin Man Goes Home,1945-01-25,5.650608,6.4,100.0,"Comedy, Mystery, Thriller",False
Shadow of the Thin Man,1941-11-21,2.671234,6.2,97.0,"Comedy, Mystery, Romance, Thriller",False
After the Thin Man,1936-12-25,7.201727,7.1,112.0,"Comedy, Crime, Mystery",False
Song of the Thin Man,1947-08-28,1.148166,6.6,86.0,"Comedy, Crime, Drama, Mystery, Thriller",False
Woodstock,1970-03-26,3.624542,7.1,225.0,"History, Documentary, Music",True
Junior Size 36,1988-03-03,3.200299,5.3,88.0,"Romance, Drama",False
The Internecine Project,1974-07-24,1.672384,7.8,89.0,"Action, Thriller",False
Love Crazy,1941-05-23,1.175665,7.9,99.0,"Comedy, Romance",False
Gunga Din,1939-01-24,7.425486,6.6,117.0,"Action, Adventure, Drama, War",False
Frank Herbert's Children of Dune,2003-03-25,3.636791,6.8,248.0,"Drama, Science Fiction, Fantasy, Adventure",False
Frank Herbert's Dune,2000-12-03,14.612842,6.7,292.0,"Action, Adventure, Fantasy, Science Fiction",False
Lammbock,2001-08-23,9.634205,7.0,93.0,Comedy,False
The Legend I,1993-03-04,3.782615,7.1,106.0,"Adventure, Action, Comedy",False
Tremors 2: Aftershocks,1996-04-09,9.877868,5.9,100.0,"Horror, Action, Comedy, Science Fiction",True
Tremors 3: Back to Perfection,2001-10-02,10.191148,5.4,104.0,"Action, Comedy, Horror, Science Fiction, Thriller",True
The Peanut Butter Solution,1985-12-05,0.797308,5.7,94.0,"Family, Comedy, Fantasy, Adventure",False
Hallelujah I'm a Bum,1933-02-03,0.511273,2.5,82.0,"Music, Romance",False
Getting It Right,1989-05-05,0.112213,4.7,102.0,,False
Straight to Hell,1986-01-01,1.044389,4.8,86.0,"Action, Western, Comedy, Crime",False
Margaret Cho: Notorious C.H.O.,2002-06-29,0.104037,4.0,95.0,Comedy,False
Friday Night,2002-09-11,0.326438,5.0,90.0,"Drama, Foreign, Romance",False
White Zombie,1932-08-04,2.692891,5.9,67.0,Horror,False
The Plague of the Zombies,1966-01-12,4.63932,6.0,91.0,Horror,False
I Walked with a Zombie,1943-04-21,3.511113,6.7,69.0,"Drama, Horror",False
Highway 61,1991-09-05,1.078271,6.0,103.0,Comedy,False
The Vampire Lovers,1970-10-04,3.448018,6.5,91.0,Horror,False
Countess Dracula,1971-01-31,1.979907,5.7,93.0,Horror,False
The Cheerleaders,1973-03-01,0.457852,4.5,81.0,Comedy,False
How to Succeed in Business Without Really Trying,1967-01-01,3.014635,6.6,121.0,"Comedy, Music",False
Pat Garrett & Billy the Kid,1973-05-23,5.781236,7.2,106.0,Western,False
The Left Handed Gun,1958-05-07,1.866255,5.5,102.0,"Drama, Action, Western",False
The Last Man on Earth,1964-03-08,4.471808,6.6,86.0,"Horror, Science Fiction",False
The Streetfighter,1974-02-02,0.834969,7.0,91.0,Action,False
Return of the Street Fighter,1974-04-27,0.905518,5.9,85.0,"Action, Foreign",False
"Duck, You Sucker",1971-10-20,9.611094,7.7,157.0,Western,False
Bring Me the Head of Alfredo Garcia,1974-08-14,4.139461,7.0,112.0,"Action, Crime, Drama, Thriller, Western",False
Ride the High Country,1962-06-20,3.102999,7.1,94.0,"Action, Western",False
The Ballad of Cable Hogue,1970-05-13,2.537955,6.9,121.0,"Action, Comedy, Western",False
Junior Bonner,1972-08-02,1.464329,6.4,100.0,"Action, Drama, Western",False
Master of the Flying Guillotine,1976-04-24,1.863293,5.9,93.0,"Action, Foreign, Fantasy",False
Frankenstein Must Be Destroyed,1969-05-22,2.049849,6.4,98.0,"Horror, Science Fiction",False
The Haunted Palace,1963-08-27,10.576153,6.4,87.0,Horror,False
Finder's Fee,2001-01-01,6.693644,5.8,100.0,"Drama, Thriller",False
The Whip and the Body,1963-08-29,2.227007,6.2,87.0,"Mystery, Horror",False
Berlin: Symphony of a Great City,1927-09-23,0.692745,8.0,69.0,"Documentary, History",False
Samurai Fiction,1998-10-27,3.121214,6.9,111.0,"Action, Comedy",False
Gidget,1959-04-09,0.802364,5.9,95.0,"Comedy, Romance",False
Wild in the Streets,1968-05-29,2.619751,6.0,94.0,"Comedy, Drama, Music",False
The Indian Runner,1991-05-19,7.218957,6.2,127.0,Drama,False
Drunken Angel,1948-04-27,3.12255,7.7,98.0,Drama,False
Desperate Living,1977-05-27,1.335691,6.7,90.0,"Comedy, Crime, Fantasy, Horror",False
The Devil's Rain,1975-07-01,1.750414,5.5,86.0,Horror,False
The Valachi Papers,1972-06-01,1.725038,7.4,125.0,"Crime, Drama",False
Rolling Thunder,1977-10-14,4.721308,6.7,95.0,"Action, Crime, Drama, Thriller",False
Stray Dog,1949-10-17,2.787661,7.3,122.0,"Crime, Drama, Thriller",False
The Hidden Fortress,1958-12-28,5.624255,8.0,139.0,"Adventure, Drama, Action, Comedy",False
High and Low,1963-03-01,8.815184,8.2,142.0,"Mystery, Drama, Thriller, Crime",False
After the Rehearsal,1984-04-09,2.281167,6.3,70.0,Drama,False
The People Under the Stairs,1991-11-01,12.709349,6.4,102.0,"Comedy, Drama, Horror, Mystery, Thriller",False
My New Gun,1992-10-26,0.178585,6.0,99.0,Comedy,False
Dark Days,2000-08-30,0.689963,7.7,82.0,Documentary,False
A Night in Casablanca,1946-05-10,2.329204,7.3,85.0,Comedy,False
Zelig,1983-07-15,5.94179,7.4,79.0,Comedy,False
Face to Face,1976-04-05,1.814674,6.9,136.0,"Drama, Fantasy",False
Shame,1968-09-29,5.305396,7.6,103.0,"War, Drama",False
The Silence,1963-09-23,3.822314,7.5,91.0,"Drama, Romance",True
Winter Light,1963-02-11,4.338439,7.6,81.0,Drama,False
Through a Glass Darkly,1961-10-16,4.955553,7.6,89.0,Drama,False
The Magician,1958-12-26,7.606709,7.4,101.0,Drama,False
Smiles of a Summer Night,1955-12-26,4.354106,7.6,108.0,"Comedy, Romance",False
Summer with Monika,1953-02-09,3.180818,7.6,96.0,"Drama, Romance",False
The Killers,1946-08-28,4.297965,7.6,103.0,"Crime, Drama, Mystery",False
The Night of the Iguana,1964-08-06,2.560454,6.9,125.0,"Drama, Romance",False
Freud: The Secret Passion,1962-12-12,1.114302,6.2,120.0,Drama,False
Reflections in a Golden Eye,1967-10-10,3.13517,6.1,108.0,"Thriller, Romance, Drama",False
Under the Volcano,1984-06-12,1.55558,6.7,112.0,Drama,False
Wise Blood,1979-10-01,1.323923,6.5,106.0,"Comedy, Drama",False
The Yakuza,1974-12-21,3.037477,6.9,112.0,"Action, Crime, Drama, Mystery, Thriller",False
A Better Place,1997-09-01,0.33244,9.0,87.0,Drama,False
Nightbreed,1990-02-16,6.372135,6.4,102.0,"Action, Drama, Fantasy, Horror",False
Shock,1977-08-12,0.992774,6.4,95.0,"Horror, Thriller",False
Rabid Dogs,1974-01-01,1.709155,7.4,96.0,"Drama, Crime, Thriller",False
Baron Blood,1972-02-25,1.017532,6.3,98.0,Horror,False
Bloody Mama,1970-03-24,4.257796,5.9,90.0,"Action, Drama, Thriller",False
The Trip,1967-08-23,1.338485,5.8,85.0,Drama,False
Ken Park,2002-08-31,12.630419,5.7,97.0,Drama,False
Monterey Pop,1968-12-26,8.003836,7.2,78.0,"Documentary, Music",False
A Bridge Too Far,1977-06-15,7.719173,7.0,175.0,"Drama, History, War",True
Infernal Affairs,2002-12-12,10.363082,7.7,101.0,"Drama, Action, Thriller, Crime, Mystery",False
A Tale of Two Sisters,2003-06-13,6.247028,7.0,115.0,"Drama, Horror, Mystery",False
Broadway Danny Rose,1984-01-27,5.892277,7.2,84.0,Comedy,False
From Beyond,1986-06-05,7.522655,6.5,86.0,"Horror, Science Fiction, Fantasy",False
The Wonderful Ice Cream Suit,1998-01-23,0.086764,0.0,77.0,"Comedy, Fantasy, Family",False
Robot Jox,1989-10-01,3.312779,5.3,85.0,"Science Fiction, Action",False
Dolls,1987-03-01,4.545885,6.1,77.0,"Fantasy, Horror",False
Space Truckers,1996-03-01,3.596317,5.6,95.0,"Comedy, Science Fiction, Thriller, Adventure",False
Not of This Earth,1988-05-20,1.569865,4.5,81.0,"Horror, Science Fiction",False
Rock 'n' Roll High School,1979-08-24,3.019609,6.6,93.0,"Comedy, Music",False
Death Race 2000,1975-04-27,6.064898,6.0,80.0,"Action, Comedy, Science Fiction",False
Cockfighter,1974-08-01,1.044611,6.1,83.0,Drama,False
A Bucket of Blood,1959-10-21,2.728651,6.4,66.0,"Comedy, Horror",False
Premature Burial,1962-03-07,9.555852,6.1,81.0,"Drama, Mystery, Horror",False
The Wild Angels,1966-07-20,5.808639,5.8,87.0,"Action, Drama",False
Bedlam,1946-05-10,1.856537,6.1,79.0,"Horror, Drama, Thriller",False
Planet of the Vampires,1965-09-15,2.512247,6.2,88.0,"Science Fiction, Horror",False
Pure Country,1992-10-23,2.803846,6.8,112.0,"Drama, Music, Romance",False
Brigadoon,1954-09-08,12.645217,6.8,108.0,"Music, Romance, Fantasy",False
Marjorie Morningstar,1958-04-24,0.728406,5.5,128.0,"Drama, Romance",False
The Power of One,1992-09-17,14.14735,7.6,127.0,Drama,False
The Weather Underground,2002-01-01,1.464497,6.9,92.0,Documentary,False
Kikujiro,1999-06-05,4.75173,7.5,117.0,"Comedy, Drama, Family",False
I'm with Lucy,2002-09-04,7.270805,5.2,90.0,"Comedy, Romance",False
"Spring, Summer, Fall, Winter... and Spring",2003-09-19,8.157887,7.6,103.0,Drama,False
The Phantom Tollbooth,1970-11-07,1.567121,6.8,90.0,"Fantasy, Animation, Adventure",False
The Getaway,1972-12-13,10.037593,7.0,118.0,"Action, Crime, Thriller",False
10 Rillington Place,1971-02-10,2.99988,6.9,106.0,"Crime, Drama",False
Dark Water,2002-01-19,8.82953,6.7,101.0,"Horror, Thriller",False
The Thing Called Love,1993-07-16,2.923094,6.5,116.0,"Music, Drama, Romance",False
The Thief,1997-08-31,1.212375,7.1,96.0,Drama,False
How to Steal a Million,1966-07-13,12.389626,7.5,123.0,"Comedy, Crime, Romance",False
The Stendhal Syndrome,1996-01-26,3.326404,5.6,120.0,"Crime, Horror, Thriller",False
Dangan Runner,1996-11-09,0.451158,7.0,82.0,"Crime, Comedy, Action",False
Manslaughter,1922-09-24,1.625211,6.0,100.0,,False
Support Your Local Sheriff,1969-03-26,2.167511,6.7,92.0,"Comedy, Western",False
Brain Donors,1992-04-17,5.141952,6.1,92.0,Comedy,False
Passed Away,1992-04-24,0.232637,0.0,96.0,Comedy,False
Mean Streets,1973-10-02,8.212399,7.2,110.0,"Drama, Crime",True
Jack the Bear,1993-04-02,5.063771,5.9,99.0,Drama,False
I Am a Fugitive from a Chain Gang,1932-11-19,8.741855,7.4,93.0,"Crime, Drama",False
Hamburger Hill,1987-08-23,12.373613,6.5,112.0,"War, Action, Drama",True
The Last Broadcast,1998-10-23,1.399495,5.1,86.0,"Horror, Mystery",False
Harper,1966-02-23,8.55931,6.3,121.0,"Action, Drama, Thriller, Crime, Mystery",False
Sweet Bird of Youth,1962-08-31,2.444359,5.4,120.0,"Drama, Romance",False
Dahmer,2002-06-21,3.66229,5.2,101.0,"Drama, Horror",False
Paradise,1991-09-18,7.176726,5.6,111.0,"Drama, Family, Romance",False
Sundays and Cybele,1962-11-12,0.833509,7.3,110.0,Drama,False
Comes a Horseman,1978-10-25,2.516575,4.6,118.0,"Romance, Western, Drama",False
Grill Point,2002-02-12,0.637825,6.9,111.0,"Comedy, Drama",False
Frankenstein Unbound,1990-11-02,2.079742,5.4,82.0,"Drama, Horror, Science Fiction",False
Shiri,1999-02-13,7.036727,6.0,125.0,"Action, Adventure, Drama, Thriller",False
Bad Day at Black Rock,1955-01-07,7.441117,7.0,81.0,"Crime, Drama, Western",False
La Cucaracha,1998-05-14,0.995424,3.8,97.0,"Drama, Thriller",False
In China They Eat Dogs,1999-09-10,5.06264,7.5,91.0,"Action, Comedy, Crime",False
Delta Force 2: The Colombian Connection,1990-08-24,7.007739,5.3,111.0,"Action, Adventure",False
Crossroads,1986-03-14,10.852948,6.9,99.0,"Drama, Music, Mystery, Romance",False
29th Street,1991-11-01,1.04741,7.0,101.0,Comedy,False
Seducing Doctor Lewis,2003-05-20,1.847074,7.0,108.0,"Drama, Comedy",False
City Limits,1984-01-01,0.441135,2.8,86.0,"Action, Science Fiction",False
Sammy and Rosie Get Laid,1987-10-30,1.009328,5.7,100.0,"Drama, Comedy",False
Leaving Normal,1992-04-29,0.945706,6.0,110.0,"Drama, Comedy",False
Sunrise: A Song of Two Humans,1927-09-23,4.249695,7.9,94.0,"Drama, Romance",False
Shock Corridor,1963-09-11,9.52088,6.5,101.0,"Drama, Mystery, Thriller",False
The First $20 Million Is Always the Hardest,2002-06-28,6.725887,5.1,105.0,Comedy,False
Au Revoir les Enfants,1987-10-06,8.052387,7.5,104.0,"Drama, War",False
Sex: The Annabel Chong Story,1999-02-11,0.119021,5.3,86.0,Documentary,False
The Girl Next Door,1999-06-16,1.061409,5.1,82.0,Documentary,False
Pursuit of Happiness,2001-01-17,0.001283,0.0,93.0,,False
Gladiator 1992,1992-03-06,2.660772,5.7,101.0,"Action, Drama",False
The Inheritance,2003-02-21,1.599982,7.0,116.0,Drama,False
Wonderful Days,2003-07-17,3.726483,6.3,86.0,"Animation, Science Fiction",False
Indestructible Man,1956-03-24,3.692449,4.9,72.0,"Crime, Horror, Science Fiction",False
The Wasp Woman,1959-11-02,1.78919,4.6,73.0,"Horror, Science Fiction",False
Attack of the Giant Leeches,1959-10-01,1.386687,4.1,62.0,"Horror, Science Fiction",False
Deranged,1974-02-02,2.400628,5.6,83.0,"Crime, Horror, Thriller",True
The Cruel Sea,1953-02-24,3.629762,7.5,126.0,"Drama, History, War",False
Sodom and Gomorrah,1962-01-01,0.639894,5.3,154.0,"Adventure, Drama, History",False
Dead or Alive,1999-11-27,0.740949,6.4,105.0,"Action, Thriller, Crime, Drama",False
Lola Montès,1955-12-23,1.971887,7.3,116.0,"Drama, Romance",False
Charly,1968-09-23,2.526159,6.6,103.0,"Drama, Romance, Science Fiction",False
Twice Upon a Time,1983-08-05,0.572516,6.4,75.0,"Animation, Fantasy",False
"Atlantis, the Lost Continent",1961-05-03,1.542929,5.6,90.0,"Adventure, Fantasy, Science Fiction",False
